feature_extractor,model,target,auroc_diff
ctranspath,Transformer,PIK3CA,0.06611097
ctranspath,Transformer,PIK3CA,0.15148032
ctranspath,Transformer,PIK3CA,0.16525793
ctranspath,Transformer,PIK3CA,0.03506756
ctranspath,Transformer,PIK3CA,0.14324164
ctranspath,Transformer,PIK3CA,0.099453926
ctranspath,Transformer,PIK3CA,-0.08918685
ctranspath,Transformer,PIK3CA,-0.06848538
ctranspath,Transformer,PIK3CA,-0.05191517
ctranspath,Transformer,PIK3CA,-0.0011497736
ctranspath,Transformer,PIK3CA,-0.14835334
ctranspath,Transformer,PIK3CA,-0.00087434053
ctranspath,Transformer,PIK3CA,-0.1369248
ctranspath,Transformer,PIK3CA,-0.13857466
ctranspath,Transformer,PIK3CA,-0.054285645
ctranspath,Transformer,PIK3CA,-0.13628578
ctranspath,Transformer,PIK3CA,-0.12392324
ctranspath,Transformer,PIK3CA,0.0030525327
ctranspath,Transformer,PIK3CA,-0.05378765
ctranspath,Transformer,PIK3CA,-0.11881477
ctranspath,Transformer,PIK3CA,-0.1718567
ctranspath,Transformer,PIK3CA,-0.07200003
ctranspath,Transformer,PIK3CA,-0.1162262
ctranspath,Transformer,PIK3CA,-0.10922682
ctranspath,Transformer,PIK3CA,0.007631302
ctranspath,Transformer,PIK3CA,-0.04110378
ctranspath,Transformer,PIK3CA,-0.095142365
ctranspath,Transformer,PIK3CA,-0.101136744
ctranspath,Transformer,PIK3CA,-0.096866965
ctranspath,Transformer,PIK3CA,-0.08433014
ctranspath,Transformer,PIK3CA,-0.026731849
ctranspath,Transformer,PIK3CA,-0.08627224
ctranspath,Transformer,PIK3CA,-0.015345275
ctranspath,Transformer,PIK3CA,-0.045267463
ctranspath,Transformer,PIK3CA,-0.045702815
ctranspath,Transformer,PIK3CA,-0.013698697
ctranspath,Transformer,PIK3CA,-0.04867387
ctranspath,Transformer,PIK3CA,0.03338945
ctranspath,Transformer,PIK3CA,-0.07126695
ctranspath,Transformer,PIK3CA,0.0128570795
ctranspath,Transformer,PIK3CA,-0.1842857
ctranspath,Transformer,PIK3CA,-0.068074465
ctranspath,Transformer,PIK3CA,-0.16452986
ctranspath,Transformer,PIK3CA,-0.11517879
ctranspath,Transformer,PIK3CA,0.07911113
ctranspath,Transformer,PIK3CA,-0.07285553
ctranspath,Transformer,PIK3CA,-0.11229634
ctranspath,Transformer,PIK3CA,-0.0534243
ctranspath,Transformer,PIK3CA,0.035642445
ctranspath,Transformer,PIK3CA,-0.03571433
ctranspath,Transformer,PIK3CA,-0.05863756
ctranspath,Transformer,PIK3CA,-0.096004605
ctranspath,Transformer,PIK3CA,-0.0466336
ctranspath,Transformer,PIK3CA,-0.14716876
ctranspath,Transformer,PIK3CA,-0.034988016
ctranspath,Transformer,PIK3CA,-0.06697321
ctranspath,Transformer,PIK3CA,-0.13174003
ctranspath,Transformer,PIK3CA,-0.0005683303
ctranspath,Transformer,PIK3CA,-0.09623298
ctranspath,Transformer,PIK3CA,-0.105202615
ctranspath,Transformer,PIK3CA,-0.0810259
ctranspath,Transformer,PIK3CA,-0.17341888
ctranspath,Transformer,PIK3CA,-0.121212125
ctranspath,Transformer,PIK3CA,-0.08059955
ctranspath,Transformer,PIK3CA,-0.04057145
ctranspath,Transformer,PIK3CA,-0.059142828
ctranspath,Transformer,PIK3CA,-0.07529861
ctranspath,Transformer,PIK3CA,-0.12973142
ctranspath,Transformer,PIK3CA,-0.042804897
ctranspath,Transformer,PIK3CA,-0.17037034
ctranspath,Transformer,PIK3CA,-0.19271445
ctranspath,Transformer,PIK3CA,-0.05837041
ctranspath,Transformer,PIK3CA,-0.14720088
ctranspath,Transformer,PIK3CA,0.009772956
ctranspath,Transformer,PIK3CA,-0.096764386
ctranspath,Transformer,PIK3CA,-0.083357275
ctranspath,Transformer,PIK3CA,-0.05346358
ctranspath,Transformer,PIK3CA,-0.21276587
ctranspath,Transformer,PIK3CA,-0.12043691
ctranspath,Transformer,PIK3CA,-0.11393535
ctranspath,Transformer,PIK3CA,-0.037367046
ctranspath,Transformer,PIK3CA,0.037598312
ctranspath,Transformer,PIK3CA,0.020460308
ctranspath,Transformer,PIK3CA,0.080088735
ctranspath,Transformer,PIK3CA,-0.1023283
ctranspath,Transformer,PIK3CA,-0.051879883
ctranspath,Transformer,PIK3CA,-0.17137861
ctranspath,Transformer,PIK3CA,0.060044885
ctranspath,Transformer,PIK3CA,-0.10463798
ctranspath,Transformer,PIK3CA,-0.03457147
ctranspath,Transformer,PIK3CA,-0.20228565
ctranspath,Transformer,PIK3CA,0.026951909
ctranspath,Transformer,PIK3CA,-0.10164833
ctranspath,Transformer,PIK3CA,-0.1103915
ctranspath,Transformer,PIK3CA,-0.0011850595
ctranspath,Transformer,PIK3CA,-0.11016452
ctranspath,Transformer,PIK3CA,-0.08444446
ctranspath,Transformer,PIK3CA,-0.11651039
ctranspath,Transformer,PIK3CA,-0.058924973
ctranspath,Transformer,PIK3CA,-0.050061047
ctranspath,Transformer,PIK3CA,-0.035354972
ctranspath,Transformer,PIK3CA,-0.057487786
ctranspath,Transformer,PIK3CA,-0.08889544
ctranspath,Transformer,PIK3CA,-0.056625485
ctranspath,Transformer,PIK3CA,-0.056220055
ctranspath,Transformer,PIK3CA,-0.027881622
ctranspath,Transformer,subtype,-0.04055643
ctranspath,Transformer,subtype,-0.0071324706
ctranspath,Transformer,subtype,-0.047259152
ctranspath,Transformer,subtype,0.0007299185
ctranspath,Transformer,subtype,0.011757135
ctranspath,Transformer,subtype,-0.038823426
ctranspath,Transformer,subtype,-0.046358526
ctranspath,Transformer,subtype,-0.015315056
ctranspath,Transformer,subtype,-0.06786537
ctranspath,Transformer,subtype,-0.0015758276
ctranspath,Transformer,subtype,-0.06066954
ctranspath,Transformer,subtype,-0.074156344
ctranspath,Transformer,subtype,0.018153608
ctranspath,Transformer,subtype,-0.06419611
ctranspath,Transformer,subtype,0.0063212514
ctranspath,Transformer,subtype,-0.057195544
ctranspath,Transformer,subtype,-0.103254855
ctranspath,Transformer,subtype,-0.014407158
ctranspath,Transformer,subtype,-0.03209877
ctranspath,Transformer,subtype,-0.035305202
ctranspath,Transformer,subtype,-0.10422313
ctranspath,Transformer,subtype,-0.035153925
ctranspath,Transformer,subtype,-0.016325355
ctranspath,Transformer,subtype,-0.040251017
ctranspath,Transformer,subtype,-0.059554815
ctranspath,Transformer,subtype,-0.008370519
ctranspath,Transformer,subtype,-0.10232043
ctranspath,Transformer,subtype,-0.030831456
ctranspath,Transformer,subtype,-0.081940174
ctranspath,Transformer,subtype,-0.102366865
ctranspath,Transformer,subtype,0.0068071485
ctranspath,Transformer,subtype,-0.0041262507
ctranspath,Transformer,subtype,0.07297552
ctranspath,Transformer,subtype,0.009224713
ctranspath,Transformer,subtype,-0.026065469
ctranspath,Transformer,subtype,0.007686138
ctranspath,Transformer,subtype,-0.07549524
ctranspath,Transformer,subtype,-0.056897044
ctranspath,Transformer,subtype,0.04344517
ctranspath,Transformer,subtype,0.022573471
ctranspath,Transformer,subtype,-0.06051272
ctranspath,Transformer,subtype,0.021052897
ctranspath,Transformer,subtype,-0.10852271
ctranspath,Transformer,subtype,-0.03126371
ctranspath,Transformer,subtype,-0.07576209
ctranspath,Transformer,subtype,-0.024332762
ctranspath,Transformer,subtype,0.0097436905
ctranspath,Transformer,subtype,-0.08297968
ctranspath,Transformer,subtype,-0.053183973
ctranspath,Transformer,subtype,0.016992033
ctranspath,Transformer,subtype,-0.003390789
ctranspath,Transformer,subtype,0.03536606
ctranspath,Transformer,subtype,0.032869756
ctranspath,Transformer,subtype,-0.014107704
ctranspath,Transformer,subtype,0.0226987
ctranspath,Transformer,subtype,-0.02741301
ctranspath,Transformer,subtype,0.02091837
ctranspath,Transformer,subtype,0.07598013
ctranspath,Transformer,subtype,0.045605242
ctranspath,Transformer,subtype,0.000651598
ctranspath,Transformer,subtype,-0.022926688
ctranspath,Transformer,subtype,-0.012362301
ctranspath,Transformer,subtype,0.09706259
ctranspath,Transformer,subtype,0.0050319433
ctranspath,Transformer,subtype,0.037819266
ctranspath,Transformer,subtype,0.0192976
ctranspath,Transformer,subtype,-0.080626845
ctranspath,Transformer,subtype,0.03502798
ctranspath,Transformer,subtype,0.055199325
ctranspath,Transformer,subtype,0.0028789043
ctranspath,Transformer,subtype,-0.03399545
ctranspath,Transformer,subtype,0.038071454
ctranspath,Transformer,subtype,0.027117252
ctranspath,Transformer,subtype,-0.02987057
ctranspath,Transformer,subtype,0.032304466
ctranspath,Transformer,subtype,-0.06844801
ctranspath,Transformer,subtype,-0.06098509
ctranspath,Transformer,subtype,-0.02264607
ctranspath,Transformer,subtype,-0.12834615
ctranspath,Transformer,subtype,-0.0646351
ctranspath,Transformer,subtype,-0.13055128
ctranspath,Transformer,subtype,-0.049589634
ctranspath,Transformer,subtype,-0.08437902
ctranspath,Transformer,subtype,-0.07649279
ctranspath,Transformer,subtype,-0.09789258
ctranspath,Transformer,subtype,-0.14279222
ctranspath,Transformer,subtype,-0.066506624
ctranspath,Transformer,subtype,0.002274394
ctranspath,Transformer,subtype,-0.13105094
ctranspath,Transformer,subtype,-0.047477126
ctranspath,Transformer,subtype,-0.0925771
ctranspath,Transformer,subtype,-0.12842315
ctranspath,Transformer,subtype,-0.04176122
ctranspath,Transformer,subtype,-0.08456701
ctranspath,Transformer,subtype,-0.041178226
ctranspath,Transformer,subtype,-0.09208119
ctranspath,Transformer,subtype,-0.096654534
ctranspath,Transformer,subtype,-0.072739065
ctranspath,Transformer,subtype,-0.08125681
ctranspath,Transformer,subtype,-0.049794972
ctranspath,Transformer,subtype,-0.0068880916
ctranspath,Transformer,subtype,-0.060138404
ctranspath,Transformer,subtype,-0.021261811
ctranspath,Transformer,subtype,-0.045648754
ctranspath,Transformer,subtype,-0.03508091
ctranspath,Transformer,subtype,-0.03163749
ctranspath,Transformer,subtype,0.01663512
ctranspath,Transformer,subtype,0.023097157
ctranspath,Transformer,subtype,-0.014172316
ctranspath,Transformer,subtype,0.015361011
ctranspath,Transformer,subtype,-0.008455336
ctranspath,Transformer,subtype,-0.058338165
ctranspath,Transformer,subtype,0.02828914
ctranspath,Transformer,subtype,0.052313566
ctranspath,Transformer,subtype,0.038637698
ctranspath,Transformer,subtype,0.020479977
ctranspath,Transformer,subtype,-0.08246052
ctranspath,Transformer,subtype,-0.025807917
ctranspath,Transformer,subtype,0.026117682
ctranspath,Transformer,subtype,0.009644866
ctranspath,Transformer,subtype,-0.025787532
ctranspath,Transformer,subtype,0.027894199
ctranspath,Transformer,subtype,0.03816539
ctranspath,Transformer,subtype,0.00410074
ctranspath,Transformer,subtype,0.030182362
ctranspath,Transformer,BRAF,0.062198043
ctranspath,Transformer,BRAF,0.039251268
ctranspath,Transformer,BRAF,-0.12833333
ctranspath,Transformer,BRAF,0.059782624
ctranspath,Transformer,BRAF,0.08631772
ctranspath,Transformer,BRAF,-0.045212746
ctranspath,Transformer,BRAF,0.045918405
ctranspath,Transformer,BRAF,-0.02526319
ctranspath,Transformer,BRAF,0.0009999871
ctranspath,Transformer,BRAF,0.012688279
ctranspath,Transformer,BRAF,0.033482194
ctranspath,Transformer,BRAF,0.02213788
ctranspath,Transformer,BRAF,0.05784577
ctranspath,Transformer,BRAF,-0.007222235
ctranspath,Transformer,BRAF,0.023000002
ctranspath,Transformer,BRAF,-0.051861703
ctranspath,Transformer,BRAF,0.058888853
ctranspath,Transformer,BRAF,0.06316495
ctranspath,Transformer,BRAF,0.20323133
ctranspath,Transformer,BRAF,0.13043481
ctranspath,Transformer,BRAF,-0.07254362
ctranspath,Transformer,BRAF,0.06046015
ctranspath,Transformer,BRAF,-0.006802678
ctranspath,Transformer,BRAF,-0.009708762
ctranspath,Transformer,BRAF,0.019086123
ctranspath,Transformer,BRAF,-0.037439704
ctranspath,Transformer,BRAF,-0.012681186
ctranspath,Transformer,BRAF,-0.08944446
ctranspath,Transformer,BRAF,0.051932335
ctranspath,Transformer,BRAF,-0.056014717
ctranspath,Transformer,BRAF,-0.038563788
ctranspath,Transformer,BRAF,0.042517006
ctranspath,Transformer,BRAF,-0.05192983
ctranspath,Transformer,BRAF,0.06999993
ctranspath,Transformer,BRAF,-0.018239498
ctranspath,Transformer,BRAF,-0.020089269
ctranspath,Transformer,BRAF,-0.11005688
ctranspath,Transformer,BRAF,-0.025265872
ctranspath,Transformer,BRAF,-0.09277785
ctranspath,Transformer,BRAF,-0.0019999743
ctranspath,Transformer,BRAF,0.023936152
ctranspath,Transformer,BRAF,-0.08611113
ctranspath,Transformer,BRAF,-0.007978797
ctranspath,Transformer,BRAF,-0.012755156
ctranspath,Transformer,BRAF,-0.071860015
ctranspath,Transformer,BRAF,-0.01010102
ctranspath,Transformer,BRAF,-0.113429666
ctranspath,Transformer,BRAF,-0.010204077
ctranspath,Transformer,BRAF,-0.18030512
ctranspath,Transformer,BRAF,0.030653536
ctranspath,Transformer,BRAF,0.15458935
ctranspath,Transformer,BRAF,0.14975852
ctranspath,Transformer,BRAF,0.15444446
ctranspath,Transformer,BRAF,0.08272946
ctranspath,Transformer,BRAF,0.10284668
ctranspath,Transformer,BRAF,-0.0046542883
ctranspath,Transformer,BRAF,-0.046768665
ctranspath,Transformer,BRAF,0.22596487
ctranspath,Transformer,BRAF,0.046000123
ctranspath,Transformer,BRAF,0.06819987
ctranspath,Transformer,BRAF,0.064732134
ctranspath,Transformer,BRAF,0.24288419
ctranspath,Transformer,BRAF,0.14361697
ctranspath,Transformer,BRAF,0.14888895
ctranspath,Transformer,BRAF,0.054999948
ctranspath,Transformer,BRAF,0.1170212
ctranspath,Transformer,BRAF,0.08944452
ctranspath,Transformer,BRAF,0.16356379
ctranspath,Transformer,BRAF,0.2661565
ctranspath,Transformer,BRAF,0.125
ctranspath,Transformer,BRAF,0.10284662
ctranspath,Transformer,BRAF,0.107544124
ctranspath,Transformer,BRAF,0.16581637
ctranspath,Transformer,BRAF,0.04576975
ctranspath,Transformer,BRAF,0.055523396
ctranspath,Transformer,BRAF,-0.0036231875
ctranspath,Transformer,BRAF,-0.05495161
ctranspath,Transformer,BRAF,-0.14666665
ctranspath,Transformer,BRAF,0.050724745
ctranspath,Transformer,BRAF,0.06336087
ctranspath,Transformer,BRAF,0.027260661
ctranspath,Transformer,BRAF,-0.010204017
ctranspath,Transformer,BRAF,-0.021052659
ctranspath,Transformer,BRAF,0.029000044
ctranspath,Transformer,BRAF,0.06661379
ctranspath,Transformer,BRAF,-0.11383933
ctranspath,Transformer,BRAF,0.019607782
ctranspath,Transformer,BRAF,-0.15359038
ctranspath,Transformer,BRAF,-0.0038888454
ctranspath,Transformer,BRAF,-0.06500006
ctranspath,Transformer,BRAF,-0.041888297
ctranspath,Transformer,BRAF,0.051111102
ctranspath,Transformer,BRAF,0.054521263
ctranspath,Transformer,BRAF,0.051020503
ctranspath,Transformer,BRAF,0.03683579
ctranspath,Transformer,BRAF,-0.07346183
ctranspath,Transformer,BRAF,-0.118245065
ctranspath,Transformer,BRAF,-0.06717688
ctranspath,Transformer,BRAF,-0.07628298
ctranspath,Transformer,BRAF,0.021399617
ctranspath,Transformer,BRAF,0.2258454
ctranspath,Transformer,BRAF,0.14432365
ctranspath,Transformer,BRAF,0.19166663
ctranspath,Transformer,BRAF,0.010869622
ctranspath,Transformer,BRAF,0.028466463
ctranspath,Transformer,BRAF,0.06582451
ctranspath,Transformer,BRAF,-0.011054397
ctranspath,Transformer,BRAF,0.18736851
ctranspath,Transformer,BRAF,0.15899998
ctranspath,Transformer,BRAF,0.12053931
ctranspath,Transformer,BRAF,0.054315507
ctranspath,Transformer,BRAF,0.24731177
ctranspath,Transformer,BRAF,0.1143617
ctranspath,Transformer,BRAF,0.13611114
ctranspath,Transformer,BRAF,0.11100006
ctranspath,Transformer,BRAF,0.11702132
ctranspath,Transformer,BRAF,0.12611115
ctranspath,Transformer,BRAF,0.03324467
ctranspath,Transformer,BRAF,0.31802726
ctranspath,Transformer,BRAF,0.16787434
ctranspath,Transformer,BRAF,0.025711656
ctranspath,Transformer,BRAF,0.21883363
ctranspath,Transformer,BRAF,0.2057823
ctranspath,Transformer,BRAF,0.11234403
ctranspath,Transformer,BRAF,0.017929435
ctranspath,Transformer,lymph,0.1501782
ctranspath,Transformer,lymph,0.14111269
ctranspath,Transformer,lymph,0.08659339
ctranspath,Transformer,lymph,0.0734067
ctranspath,Transformer,lymph,0.0714286
ctranspath,Transformer,lymph,0.1532216
ctranspath,Transformer,lymph,0.13901567
ctranspath,Transformer,lymph,0.18808651
ctranspath,Transformer,lymph,0.06479782
ctranspath,Transformer,lymph,0.11320758
ctranspath,Transformer,lymph,0.103565276
ctranspath,Transformer,lymph,0.16183263
ctranspath,Transformer,lymph,0.10169488
ctranspath,Transformer,lymph,0.088750005
ctranspath,Transformer,lymph,0.115959525
ctranspath,Transformer,lymph,0.18999994
