feature_extractor,,,bt,bt,ctranspath,ctranspath,dino_p16,dino_p16,owkin,owkin,resnet50,resnet50,retccl,retccl,swav,swav,swin,swin,vit,vit,vits,vits
stats,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
augmentations,model,target,,,,,,,,,,,,,,,,,,,,
Macenko_patchwise,AttentionMIL,BRAF,0.2789165413341569,0.09648413609894717,0.058703765865326364,0.0366849542746759,0.022134647365570456,0.0375607584286511,0.09381016254044211,0.04530151673098441,0.16867718457793993,0.07038511244682769,0.1410176014862111,0.036274279070049015,0.07206814050293157,0.0528399705197588,0.10777294396971576,0.07411906138165326,0.12619048118211448,0.06398882314170155,0.17525962948418808,0.0745707649912867
Macenko_patchwise,AttentionMIL,CDH1,0.04038122579575024,0.014882863199779307,0.0210779516410841,0.029036015623140187,0.009998592586517566,0.011960856535090448,0.04460740968703977,0.013954707460118681,0.1835565535736061,0.03611866895580045,0.03489864751816159,0.020714361476925194,0.026332136840817824,0.027243409591799113,0.1964063732338044,0.042598907298780485,0.11530985519410059,0.031582390337572555,0.09760567829131697,0.025305522492871924
Macenko_patchwise,AttentionMIL,KRAS,0.07725220690303412,0.05680971266312488,0.06548418770365046,0.02929147567538258,0.06923795710139106,0.03881894268738924,0.054373118978067084,0.04760161461316602,0.12595716486506175,0.03037049385282203,0.016422650914716935,0.026187254678782364,0.12231604824594768,0.07613434763339341,0.10966588030390849,0.03590039165598447,0.09532655249171088,0.038482263271527165,0.05925297508768814,0.05215572628760808
Macenko_patchwise,AttentionMIL,MSI,0.3328428133964438,0.07357947652489866,0.07173170890808236,0.05684774833477187,0.010466252231596774,0.016273335565874028,0.028624676132204704,0.03036322744038963,0.18078517761231688,0.028316348601697947,0.07018848505018552,0.034005484021510914,0.1234806760787985,0.03951074617107313,0.13747241344451747,0.02609517262939621,0.14271935071946404,0.03825782184998178,0.1555794342994447,0.0410059517696295
Macenko_patchwise,AttentionMIL,PIK3CA,0.13388673734818082,0.022775088318617534,0.03942958784256673,0.012162893077026102,0.019572467328644864,0.01655377595472139,0.05508671474609626,0.017738934959604023,0.016143877030943297,0.009821763275859548,0.02622959089431733,0.018265401213904166,0.05417246294174195,0.025708947277393472,0.047858173371887844,0.028533263692817133,0.044372457982631903,0.04062320382989819,0.014629609109496648,0.017272812906946156
Macenko_patchwise,AttentionMIL,SMAD4,0.1494891533336702,0.08389630489973833,0.06410014123534717,0.025538617294400816,0.04904639215088388,0.03477985737312931,0.0608110854110578,0.05561638001126277,0.14670607537839672,0.06518034844151233,0.07295528144453743,0.0325219669062955,0.10951443404770043,0.04685354591160785,0.20034301967237994,0.02788945318931253,0.01792683095549997,0.02424330886285003,0.06903373689269374,0.030950384335140184
Macenko_patchwise,AttentionMIL,TP53,0.023166071567537513,0.02360382829300714,0.028048228416443166,0.02385066775619573,0.042863046321864974,0.02643632260702737,0.08879457632063016,0.03586271776462555,0.1679752937889251,0.05457944781508643,0.0323411695098826,0.03844931927605689,0.03624128023147744,0.017693407670208237,0.23722331443786665,0.028643890774731718,0.12218402544021148,0.017218133292237786,0.10330074945450726,0.03694093443534806
Macenko_patchwise,AttentionMIL,lymph,0.25202190400985347,0.12987594495484578,0.036961735505102684,0.049643644600695536,0.06495530726336873,0.05893032200463644,0.09128159405613454,0.0920330614746993,0.16724625946900595,0.06995561770393063,0.09756188513660133,0.08815043508264542,0.08159736515903866,0.0700643381052625,0.16467287661458163,0.0708019608053168,0.15950840832614682,0.1162178599414687,0.1922539723100646,0.06752253659168045
