target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,train_auroc,val_auroc,test_auroc
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,0,0.8721969127655029,0.8230071067810059,0.8103940486907959
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,1,0.8650658130645752,0.7946921586990356,0.7744145393371582
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,2,0.8008670806884766,0.8212313055992126,0.7641347646713257
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,3,0.8761809468269348,0.7944948673248291,0.8001142144203186
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,all,4,0.8743617534637451,0.7690410017967224,0.7892632484436035
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,0,0.8547389507293701,0.8289265632629395,0.8195316791534424
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,1,0.8736159205436707,0.8209353089332581,0.8012564182281494
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,2,0.8312897682189941,0.8143251538276672,0.8121073246002197
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,3,0.8193620443344116,0.8180742263793945,0.7858366966247559
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,none,4,0.8175792694091797,0.7973559498786926,0.826956033706665
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,simple_rotate,0,0.866915225982666,0.8013023138046265,0.8275271058082581
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,simple_rotate,1,0.8533260822296143,0.8332675695419312,0.7395774126052856
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,simple_rotate,2,0.8735612630844116,0.8249802589416504,0.7841233015060425
CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,ctranspath,simple_rotate,3,0.8614274263381958,0.8329715728759766,0.8172472715377808
