target,,CDH1,CDH1,PIK3CA,PIK3CA,TP53,TP53,subtype,subtype
stats,,mean,std,mean,std,mean,std,mean,std
model,feature_extractor,,,,,,,,
AttentionMIL,bt,0.040691302783965294,0.030841373659592254,0.11875389034652731,0.025798792393507436,0.06472046726989822,0.08187686749617193,0.12758471965790186,0.056468638894041696
AttentionMIL,ctranspath,0.036522255905148814,0.0396448034530807,0.02932531053924511,0.020749248205716955,0.038149217308042854,0.029145971282007382,0.0015814900398254048,0.0028884183840561413
AttentionMIL,dino_p16,0.03395228243637248,0.02346692705186956,0.019496719192503682,0.019624968181480896,0.03831755274581666,0.029995396360219237,0.04138385057449317,0.03809422368745064
AttentionMIL,owkin,0.08466615534591275,0.03856959180879012,0.09972533399963816,0.03481700748886745,0.08085403794098305,0.03567740694439775,0.08797689676284555,0.039069880722984965
AttentionMIL,resnet50,0.19614531851577588,0.04255468468238089,0.029296747993470273,0.024154647312711514,0.15605043524551568,0.03465217633099129,0.13488768339158144,0.04386337934794049
AttentionMIL,retccl,0.019903169639587343,0.022133799258518914,0.049725322078704684,0.02960532098826561,0.031050435245514464,0.02786178624383984,0.06635825634002789,0.04389622555332551
AttentionMIL,swav,0.019560514457704153,0.017070231276124455,0.051582471679687186,0.04109984396592453,0.023278251827239367,0.020010829614907553,0.06866527795791617,0.041712453866215554
AttentionMIL,swin,0.2253286228256213,0.02882607064929063,0.07212534363174711,0.04831092033202674,0.26556220406340914,0.03296924537711063,0.0773662805557245,0.03673358618673759
AttentionMIL,vit,0.15645371533202343,0.02946704073590821,0.0344110410919206,0.027098981809686968,0.123951677024844,0.022222837571416115,0.08486163616180374,0.036766308004000464
MeanAveragePooling,bt,0.010814953346251674,0.004984326113601877,0.07339199113846052,0.012149299051776277,0.040299060668944515,0.02945090121749027,0.09337116479873968,0.02766885285018922
MeanAveragePooling,ctranspath,0.022465444107056847,0.005486120194738669,0.0009348564147949029,0.003258220778852649,0.03421038660049254,0.02843510656876382,0.0,0.0
MeanAveragePooling,dino_p16,0.018467712898254857,0.021033902303440412,0.045106249332429925,0.015473392644321324,0.04703305038452367,0.039749983062039196,0.06258087158203746,0.006929379537157407
MeanAveragePooling,owkin,0.02823356439590372,0.018958984545818867,0.06244913864135806,0.02346825815032588,0.10974350246430001,0.04031473364585085,0.12565597295760916,0.012046949469982577
MeanAveragePooling,resnet50,0.11452713062286816,0.043418639295475014,0.03104912567138518,0.014455592076290333,0.1465280202293346,0.03170188874751247,0.08393683433532372,0.005160271377119861
MeanAveragePooling,retccl,0.006703019638061529,0.007503108290974828,0.05162057209014968,0.01205920345916419,0.0680207279586801,0.03706044631895159,0.02254097461700373,0.0030239406476765605
MeanAveragePooling,swav,0.012299824256896524,0.009718137361317616,0.14939199018478622,0.02054793192967433,0.024586382236480086,0.02835590556435927,0.08362467288970461,0.005083061984043635
MeanAveragePooling,swin,0.1425111179542602,0.022513000082487238,0.03044910955429049,0.014065682823944898,0.14983891519547068,0.04226283647639141,0.06985754966735697,0.005410208566584581
MeanAveragePooling,vit,0.08231693555831987,0.007965164688933787,0.04007771539688293,0.013343093305268179,0.07988941940307821,0.0335551524286567,0.046121525764466195,0.005896965932095496
Transformer,bt,0.02925386566162113,0.02338630046765247,0.04845332854980236,0.017152594835569038,0.023817940196991714,0.02574576341708151,0.028338050174713865,0.023396946325050162
Transformer,ctranspath,0.014290989818572214,0.021809630230770517,0.08065334314101749,0.04349230974045512,0.04794814153671069,0.04516283107100566,0.03882909946441704,0.032694279411831666
Transformer,dino_p16,0.06489067214965645,0.03789683446852153,0.023053309857786357,0.024814566195309595,0.017897649250030994,0.02828446650437076,0.01975738935470758,0.025041328777170538
Transformer,owkin,0.08110996622085742,0.019759102921904612,0.03399619811767776,0.016803859145743907,0.09034431739807013,0.03661947682951098,0.10691454343795737,0.024234519142638737
Transformer,resnet50,0.19938522714614204,0.06681759727489009,0.03079619163268985,0.01894296542246364,0.16242625280380676,0.03628872621866006,0.14891139202118514,0.032291996507480616
Transformer,retccl,0.06003627914428815,0.03432961162200541,0.059053347051087494,0.0421136657271734,0.02651153369903615,0.018967920095799264,0.0683149569511404,0.0477749785411217
Transformer,swav,0.02108712333679142,0.01809004486977104,0.06062475794548111,0.049558191751399354,0.04199976488113707,0.03678078764782586,0.06896787815093858,0.032450729829143564
Transformer,swin,0.1467867149734526,0.03927687024524039,0.03836761468643097,0.028718318973412826,0.19632073207856085,0.029930872034825286,0.09469044141768704,0.03298637775664828
Transformer,vit,0.14147545236588413,0.033083115769612516,0.02356759065383884,0.020995509077578977,0.171545238933564,0.028488842283012954,0.1232803695678735,0.044704608623781346
