magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.014911056
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.00089645386
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.015112102
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.097142935
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.024258852
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.02372396
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.04454589
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.034526348
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.03999996
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.013000011
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.037860572
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.022407532
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0030000806
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.029649615
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0071685314
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0148486495
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013999939
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.010008395
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.02727276
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.020833313
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.034366608
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0057321787
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.013071954
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.023492038
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013344526
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03270811
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.009412825
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.018238723
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.062222242
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.016172528
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.039539933
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.029697299
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.042947352
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.047500014
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.009000063
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.03425479
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0010421276
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.029500008
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.014824808
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.019514084
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.004568815
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.01700002
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.034195185
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0018181205
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.037037134
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.022237241
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.011464238
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0032679439
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0044444203
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0141785145
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.0019240379
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.041685343
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.01771754
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.012698412
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.008086264
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.043853283
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.005139947
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.006736815
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.013999939
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.007499993
high,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.039663494
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.011464298
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.03400004
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.035040498
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.031461596
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07252991
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.013000131
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.06338608
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.011818171
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0138888955
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.026280403
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0739969
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,-0.021241844
high,ctranspath,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.021587253
