target,,,BRAF,BRAF,CDH1,CDH1,KRAS,KRAS,MSI,MSI,PIK3CA,PIK3CA,SMAD4,SMAD4,TP53,TP53,lymph,lymph,subtype,subtype
stats,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
augmentations,model,feature_extractor,,,,,,,,,,,,,,,,,,
Macenko_patchwise,AttentionMIL,bt,0.2789165413341237,0.09648413609894663,0.040381225795745324,0.014882863199776924,0.07306009318911895,0.056745877966315056,0.3328428133964224,0.07357947652488679,0.13111878172683603,0.023538169537858984,0.14919591013908057,0.08386373912111222,0.023166071567535647,0.0236038282930085,0.25202131549946727,0.12987626759310816,0.11309125185013334,0.040530543273905546
Macenko_patchwise,AttentionMIL,ctranspath,0.05870376586532293,0.036684954274676156,0.02107795164108209,0.029036015623138883,0.06129207398974858,0.030044293348442296,0.07173170890808403,0.05684774833476969,0.036661632221223234,0.013537974193930508,0.06380689804077183,0.025953116300247877,0.028048228416442954,0.023850667756195303,0.03696114699475188,0.04964376561962646,0.0013496255874632767,0.003716554250240165
Macenko_patchwise,AttentionMIL,dino_p16,0.022134647365570494,0.03756075842865107,0.009998592586517484,0.011960856535090183,0.06504584338748366,0.0391801085597368,0.010466252231597993,0.01627333556587375,0.016804511707305417,0.015373620999550579,0.04875314895629652,0.0349429338750613,0.042863046321866945,0.026436322607011547,0.06495471875302179,0.0589304349902613,0.044301042556761004,0.03204392085140508
Macenko_patchwise,AttentionMIL,owkin,0.09381016254044029,0.045301516730983794,0.04460740968704292,0.013954707460114728,0.05018100526415954,0.04749069148689985,0.0286246761322025,0.030363227440390814,0.052318759124754914,0.01870856998205463,0.0605178422164896,0.05560030019400983,0.08879457632064561,0.03586271776462611,0.09128100554577533,0.09203269972337963,0.10980601072311234,0.030453357458675626
Macenko_patchwise,AttentionMIL,resnet50,0.16867718457793865,0.07038511244682509,0.18355655357362036,0.036118668955799654,0.1217650511511528,0.03119366126521633,0.1807851776123011,0.028316348601698516,0.0133759214096065,0.011094903638139737,0.1464128321838393,0.0653446835786424,0.1679752937889113,0.05457944781508943,0.1672456709586937,0.06995645805605978,0.17176015138626308,0.03516431673244709
Macenko_patchwise,AttentionMIL,retccl,0.1410176014862021,0.03627427907004877,0.03489864751815624,0.020714361476925472,0.012230537200805398,0.022047967188671302,0.07018848505020078,0.0340054840215156,0.023461635272979568,0.0183107732784217,0.07266203824996927,0.03285008646091415,0.03234116950988578,0.03844931927605649,0.09756129662625168,0.08815034226838692,0.08524267435073868,0.03904103385351603
Macenko_patchwise,AttentionMIL,swav,0.07206814050293656,0.05283997051975878,0.026332136840821464,0.02724340959179931,0.11812393453204671,0.07623912362993533,0.12348067607879643,0.03951074617107182,0.05140450732039958,0.026157999064725133,0.10922119085311759,0.047081892628976926,0.03624128023147554,0.017693407670208577,0.0815967766486818,0.0700642763858735,0.054316637516020845,0.028419360442933733
Macenko_patchwise,AttentionMIL,swin,0.10777294396972562,0.07411906138165812,0.19640637323379584,0.0425989072987789,0.10547376658999312,0.03659716990937551,0.13747241344450847,0.026095172629396455,0.04509021775054795,0.029056716139273592,0.20004977647780908,0.028271389216558213,0.23722331443786443,0.028643890774734292,0.16467228810422102,0.07080266082691565,0.07968046426773116,0.030228426428608304
