magnification,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.041888297
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03666666
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.037898958
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.032312945
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03260863
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.14141414
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.1054039
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0051020235
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03467405
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.10121459
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.021739125
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.09057969
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.054444432
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.025362313
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.056932956
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.047207475
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.028061211
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0021052957
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.024000049
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.052339464
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.06398809
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.05502844
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.051196784
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.033888936
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.043999985
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.039228708
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.037222236
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.009973407
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.041666657
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.067632824
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.1313132
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07062596
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.005952373
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.016643554
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.09658769
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008454114
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.016908169
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.07277778
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.017512113
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.008264422
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.015957445
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.0017007291
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.037894726
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.02399993
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.00158602
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.05282736
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,-0.026565492
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.03191489
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.011666656
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.02699998
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.0013297796
low,bt,AttentionMIL,BRAF,tcga_crc_BRAF,cptac_crc_BRAF,0.00444445
