train_dataset,test_dataset,target,feature_extractor,model,mean,std,ci_lo,ci_hi
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,resnet50,Transformer,0.072476596,0.10201788,-0.14648183733224868,0.27056771069765084
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,resnet50,MeanAveragePooling,0.114146456,0.068744496,0.005189344286918641,0.2544046968221664
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,resnet50,AttentionMIL,0.100222945,0.085908785,-0.09553524404764176,0.2571157336235046
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,retccl,Transformer,0.012131659,0.09362137,-0.18385745286941527,0.187950325012207
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,retccl,MeanAveragePooling,-0.0018955087,0.02186701,-0.0474032923579216,0.04207698702812194
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,retccl,AttentionMIL,0.0082086185,0.035753556,-0.06286318749189376,0.07818633615970609
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,bt,Transformer,-0.017484749,0.043555375,-0.12320475578308106,0.06436494439840311
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,bt,MeanAveragePooling,-0.0030781026,0.009872598,-0.022857654094696044,0.015825782716274252
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,bt,AttentionMIL,-0.009843406,0.045426015,-0.09107433408498763,0.07356154471635816
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,swav,Transformer,-0.021391213,0.05599325,-0.14973965138196946,0.06828574687242506
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,swav,MeanAveragePooling,0.0009577718,0.022353757,-0.039096605777740476,0.04956812560558317
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,swav,AttentionMIL,-0.022376057,0.058254767,-0.14122877717018129,0.09904766082763672
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,dino_p16,Transformer,-0.018237926,0.04504663,-0.10782696604728699,0.07425026148557662
tcga_brca_CDH1,cptac_brca_CDH1,CDH1,dino_p16,MeanAveragePooling,-0.010684937,0.027548956,-0.06985069364309311,0.0403479591012001
