model,,,,AttentionMIL,AttentionMIL,MeanAveragePooling,MeanAveragePooling,Transformer,Transformer
stats,,,,mean,std,mean,std,mean,std
high,Macenko_patchwise,uni,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,uni,MSI,0.0,0.0,,,,
high,Macenko_patchwise,uni,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,uni,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,uni,TP53,0.0,0.0,,,,
high,Macenko_patchwise,uni,lymph,0.0,0.0,,,,
high,Macenko_patchwise,uni,subtype,0.0,0.0,,,,
high,Macenko_patchwise,vit,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,vit,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,vit,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,vit,MSI,0.0,0.0,,,,
high,Macenko_patchwise,vit,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,vit,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,vit,TP53,0.0,0.0,,,,
high,Macenko_patchwise,vit,lymph,0.0,0.0,,,,
high,Macenko_patchwise,vit,subtype,0.0,0.0,,,,
high,Macenko_patchwise,vitl,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,vitl,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,vitl,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,vitl,MSI,0.0,0.0,,,,
high,Macenko_patchwise,vitl,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,vitl,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,vitl,TP53,0.0,0.0,,,,
high,Macenko_patchwise,vitl,lymph,0.0,0.0,,,,
high,Macenko_patchwise,vitl,subtype,0.0,0.0,,,,
high,Macenko_patchwise,vits,BRAF,0.0,0.0,,,,
high,Macenko_patchwise,vits,CDH1,0.0,0.0,,,,
high,Macenko_patchwise,vits,KRAS,0.0,0.0,,,,
high,Macenko_patchwise,vits,MSI,0.0,0.0,,,,
high,Macenko_patchwise,vits,PIK3CA,0.0,0.0,,,,
high,Macenko_patchwise,vits,SMAD4,0.0,0.0,,,,
high,Macenko_patchwise,vits,TP53,0.0,0.0,,,,
high,Macenko_patchwise,vits,lymph,0.0,0.0,,,,
high,Macenko_patchwise,vits,subtype,0.0,0.0,,,,
high,none,bt,BRAF,0.0,0.0,,,,
high,none,bt,CDH1,0.0,0.0,,,,
high,none,bt,KRAS,0.0,0.0,,,,
high,none,bt,MSI,0.0,0.0,,,,
high,none,bt,PIK3CA,0.0,0.0,,,,
high,none,bt,SMAD4,0.0,0.0,,,,
high,none,bt,TP53,0.0,0.0,,,,
high,none,bt,lymph,0.0,0.0,,,,
high,none,bt,subtype,0.0,0.0,,,,
high,none,ctranspath,BRAF,0.0,0.0,,,,
high,none,ctranspath,CDH1,0.0,0.0,,,,
high,none,ctranspath,KRAS,0.0,0.0,,,,
high,none,ctranspath,MSI,0.0,0.0,,,,
high,none,ctranspath,PIK3CA,0.0,0.0,,,,
high,none,ctranspath,SMAD4,0.0,0.0,,,,
high,none,ctranspath,TP53,0.0,0.0,,,,
high,none,ctranspath,lymph,0.0,0.0,,,,
high,none,ctranspath,subtype,0.0,0.0,,,,
high,none,dino_p16,BRAF,0.0,0.0,,,,
high,none,dino_p16,CDH1,0.0,0.0,,,,
high,none,dino_p16,KRAS,0.0,0.0,,,,
high,none,dino_p16,MSI,0.0,0.0,,,,
high,none,dino_p16,PIK3CA,0.0,0.0,,,,
high,none,dino_p16,SMAD4,0.0,0.0,,,,
high,none,dino_p16,TP53,0.0,0.0,,,,
high,none,dino_p16,lymph,0.0,0.0,,,,
high,none,dino_p16,subtype,0.0,0.0,,,,
high,none,mocov2,BRAF,0.0,0.0,,,,
high,none,mocov2,CDH1,0.0,0.0,,,,
high,none,mocov2,KRAS,0.0,0.0,,,,
high,none,mocov2,MSI,0.0,0.0,,,,
high,none,mocov2,PIK3CA,0.0,0.0,,,,
high,none,mocov2,SMAD4,0.0,0.0,,,,
high,none,mocov2,TP53,0.0,0.0,,,,
high,none,mocov2,lymph,0.0,0.0,,,,
high,none,mocov2,subtype,0.0,0.0,,,,
high,none,owkin,BRAF,0.0,0.0,,,,
high,none,owkin,CDH1,0.0,0.0,,,,
high,none,owkin,KRAS,0.0,0.0,,,,
high,none,owkin,MSI,0.0,0.0,,,,
high,none,owkin,PIK3CA,0.0,0.0,,,,
high,none,owkin,SMAD4,0.0,0.0,,,,
high,none,owkin,TP53,0.0,0.0,,,,
high,none,owkin,lymph,0.0,0.0,,,,
high,none,owkin,subtype,0.0,0.0,,,,
high,none,owkin_teacher,BRAF,0.0,0.0,,,,
high,none,owkin_teacher,CDH1,0.0,0.0,,,,
high,none,owkin_teacher,KRAS,0.0,0.0,,,,
high,none,owkin_teacher,MSI,0.0,0.0,,,,
high,none,owkin_teacher,PIK3CA,0.0,0.0,,,,
high,none,owkin_teacher,SMAD4,0.0,0.0,,,,
high,none,owkin_teacher,TP53,0.0,0.0,,,,
high,none,owkin_teacher,lymph,0.0,0.0,,,,
high,none,owkin_teacher,subtype,0.0,0.0,,,,
high,none,resnet50,BRAF,0.0,0.0,,,,
high,none,resnet50,CDH1,0.0,0.0,,,,
high,none,resnet50,KRAS,0.0,0.0,,,,
high,none,resnet50,MSI,0.0,0.0,,,,
high,none,resnet50,PIK3CA,0.0,0.0,,,,
high,none,resnet50,SMAD4,0.0,0.0,,,,
high,none,resnet50,TP53,0.0,0.0,,,,
high,none,resnet50,lymph,0.0,0.0,,,,
high,none,resnet50,subtype,0.0,0.0,,,,
high,none,retccl,BRAF,0.0,0.0,,,,
high,none,retccl,CDH1,0.0,0.0,,,,
high,none,retccl,KRAS,0.0,0.0,,,,
high,none,retccl,MSI,0.0,0.0,,,,
high,none,retccl,PIK3CA,0.0,0.0,,,,
high,none,retccl,SMAD4,0.0,0.0,,,,
high,none,retccl,TP53,0.0,0.0,,,,
high,none,retccl,lymph,0.0,0.0,,,,
high,none,retccl,subtype,0.0,0.0,,,,
high,none,swav,BRAF,0.0,0.0,,,,
high,none,swav,CDH1,0.0,0.0,,,,
high,none,swav,KRAS,0.0,0.0,,,,
high,none,swav,MSI,0.0,0.0,,,,
high,none,swav,PIK3CA,0.0,0.0,,,,
high,none,swav,SMAD4,0.0,0.0,,,,
high,none,swav,TP53,0.0,0.0,,,,
high,none,swav,lymph,0.0,0.0,,,,
high,none,swav,subtype,0.0,0.0,,,,
high,none,swin,BRAF,0.0,0.0,,,,
high,none,swin,CDH1,0.0,0.0,,,,
high,none,swin,KRAS,0.0,0.0,,,,
high,none,swin,MSI,0.0,0.0,,,,
high,none,swin,PIK3CA,0.0,0.0,,,,
high,none,swin,SMAD4,0.0,0.0,,,,
high,none,swin,TP53,0.0,0.0,,,,
high,none,swin,lymph,0.0,0.0,,,,
high,none,swin,subtype,0.0,0.0,,,,
high,none,uni,BRAF,0.0,0.0,,,,
high,none,uni,CDH1,0.0,0.0,,,,
high,none,uni,KRAS,0.0,0.0,,,,
high,none,uni,MSI,0.0,0.0,,,,
high,none,uni,PIK3CA,0.0,0.0,,,,
high,none,uni,SMAD4,0.0,0.0,,,,
high,none,uni,TP53,0.0,0.0,,,,
high,none,uni,lymph,0.0,0.0,,,,
high,none,uni,subtype,0.0,0.0,,,,
high,none,vit,BRAF,0.0,0.0,,,,
high,none,vit,CDH1,0.0,0.0,,,,
high,none,vit,KRAS,0.0,0.0,,,,
high,none,vit,MSI,0.0,0.0,,,,
high,none,vit,PIK3CA,0.0,0.0,,,,
high,none,vit,SMAD4,0.0,0.0,,,,
high,none,vit,TP53,0.0,0.0,,,,
high,none,vit,lymph,0.0,0.0,,,,
high,none,vit,subtype,0.0,0.0,,,,
high,none,vitl,BRAF,0.0,0.0,,,,
