feature_extractor,model,target,auroc_diff
ctranspath,Transformer,lymph,0.12729782
ctranspath,Transformer,lymph,0.0866667
ctranspath,Transformer,lymph,0.066176414
ctranspath,Transformer,lymph,0.069518685
ctranspath,Transformer,lymph,0.02690208
ctranspath,Transformer,lymph,-0.0020834208
ctranspath,Transformer,lymph,0.111202955
ctranspath,Transformer,lymph,0.07717568
ctranspath,Transformer,lymph,-0.011868119
ctranspath,Transformer,lymph,0.03125
ctranspath,Transformer,lymph,0.023594975
ctranspath,Transformer,lymph,0.036892354
ctranspath,Transformer,lymph,-0.036892474
ctranspath,Transformer,lymph,-0.06263399
ctranspath,Transformer,lymph,-0.04794216
ctranspath,Transformer,lymph,-0.08766234
ctranspath,Transformer,lymph,-0.014583349
ctranspath,Transformer,lymph,0.038671732
ctranspath,Transformer,lymph,-0.020128846
ctranspath,Transformer,lymph,0.025362372
ctranspath,Transformer,lymph,-0.10336542
ctranspath,Transformer,lymph,-0.107204914
ctranspath,Transformer,lymph,-0.011904776
ctranspath,Transformer,lymph,-0.0719192
ctranspath,Transformer,lymph,-0.06690705
ctranspath,Transformer,lymph,-0.058751464
ctranspath,Transformer,lymph,-0.113645494
ctranspath,Transformer,lymph,-0.08251232
ctranspath,Transformer,lymph,-0.043295503
ctranspath,Transformer,lymph,-0.032231808
ctranspath,Transformer,lymph,-0.0024630427
ctranspath,Transformer,lymph,0.042016745
ctranspath,Transformer,lymph,-0.045048714
ctranspath,Transformer,lymph,-0.023752093
ctranspath,Transformer,lymph,-0.018391728
ctranspath,Transformer,lymph,-0.028158426
ctranspath,Transformer,lymph,0.07360011
ctranspath,Transformer,lymph,-0.022933304
ctranspath,Transformer,lymph,0.044755876
ctranspath,Transformer,lymph,0.07333648
ctranspath,Transformer,lymph,0.019750595
ctranspath,Transformer,lymph,0.066268206
ctranspath,Transformer,lymph,0.064685285
ctranspath,Transformer,lymph,-0.01806897
ctranspath,Transformer,lymph,0.013643503
ctranspath,Transformer,lymph,-0.032051325
ctranspath,Transformer,lymph,-0.010331988
ctranspath,Transformer,lymph,-0.0016813278
ctranspath,Transformer,lymph,0.009046078
ctranspath,Transformer,lymph,0.052849233
ctranspath,Transformer,lymph,-0.044178724
ctranspath,Transformer,lymph,0.01546669
ctranspath,Transformer,lymph,0.009644389
ctranspath,Transformer,lymph,0.080771565
ctranspath,Transformer,lymph,0.006399989
ctranspath,Transformer,lymph,0.034350216
ctranspath,Transformer,lymph,-0.040654898
ctranspath,Transformer,lymph,-0.0034964085
ctranspath,Transformer,lymph,0.0049341917
ctranspath,Transformer,lymph,-0.022988498
ctranspath,Transformer,lymph,-0.060219884
ctranspath,Transformer,lymph,-0.028742969
ctranspath,Transformer,lymph,-0.0309847
ctranspath,Transformer,lymph,-0.087945044
ctranspath,Transformer,lymph,-0.08279705
ctranspath,Transformer,lymph,-0.09191179
ctranspath,Transformer,lymph,-0.06196946
ctranspath,Transformer,lymph,-0.04115784
ctranspath,Transformer,lymph,-0.025833368
ctranspath,Transformer,lymph,-0.087087035
ctranspath,Transformer,lymph,-0.045653224
ctranspath,Transformer,lymph,-0.043758035
ctranspath,Transformer,lymph,-0.10101867
ctranspath,Transformer,lymph,-0.12483525
ctranspath,Transformer,lymph,-0.014322877
ctranspath,Transformer,lymph,-0.08643454
ctranspath,Transformer,lymph,-0.030595839
ctranspath,Transformer,lymph,-0.061347008
ctranspath,Transformer,lymph,-0.019429505
ctranspath,Transformer,lymph,-0.056202352
ctranspath,Transformer,lymph,-0.052121222
ctranspath,Transformer,lymph,-0.06949496
ctranspath,Transformer,lymph,-0.060329914
ctranspath,Transformer,lymph,-0.042828202
ctranspath,Transformer,lymph,0.017003715
ctranspath,Transformer,lymph,-0.00083333254
ctranspath,Transformer,lymph,-0.016009808
ctranspath,Transformer,lymph,0.037396908
ctranspath,Transformer,lymph,-0.023030281
ctranspath,Transformer,lymph,-0.047083378
ctranspath,Transformer,lymph,-0.04040003
ctranspath,Transformer,lymph,-0.009358287
ctranspath,Transformer,lymph,0.007389188
ctranspath,Transformer,lymph,-0.021915615
ctranspath,Transformer,lymph,-0.079861104
ctranspath,Transformer,lymph,-0.014882207
ctranspath,Transformer,lymph,-0.037683845
ctranspath,Transformer,lymph,0.0014570355
ctranspath,Transformer,lymph,0.0037499666
ctranspath,Transformer,lymph,-0.05494511
ctranspath,Transformer,lymph,-0.006434977
ctranspath,Transformer,lymph,-0.0036364794
ctranspath,Transformer,lymph,-0.027083278
ctranspath,Transformer,lymph,-0.055000067
ctranspath,Transformer,lymph,-0.01630199
ctranspath,Transformer,lymph,-0.030377746
ctranspath,Transformer,lymph,-0.02900374
ctranspath,Transformer,lymph,-0.015220761
ctranspath,Transformer,lymph,-0.0031659007
ctranspath,Transformer,SMAD4,0.11768615
ctranspath,Transformer,SMAD4,0.06740677
ctranspath,Transformer,SMAD4,0.021977961
ctranspath,Transformer,SMAD4,0.14750206
ctranspath,Transformer,SMAD4,0.17999995
ctranspath,Transformer,SMAD4,0.055803537
ctranspath,Transformer,SMAD4,0.055000007
