model,,,AttentionMIL,AttentionMIL,MeanAveragePooling,MeanAveragePooling,Transformer,Transformer
stats,,,mean,std,mean,std,mean,std
augmentations,feature_extractor,target,,,,,,
Macenko_patchwise,bt,BRAF,0.15040426039695737,0.07767413731159582,0.016893605232238755,0.015915848767442595,0.01110904598236084,0.01680280473870144
Macenko_patchwise,bt,CDH1,0.016881786823272717,0.020148362994436016,0.028418051242828368,0.02024885939205574,0.0052313079833984375,0.007372107439409959
Macenko_patchwise,bt,KRAS,0.06845570611953739,0.057130138740813956,0.008226726531982422,0.0187416606170584,0.0816501717567444,0.05582488990380779
Macenko_patchwise,bt,MSI,0.2809670925140379,0.07537101496858094,0.06255145072937011,0.0357317261203837,0.0,0.0
Macenko_patchwise,bt,PIK3CA,0.08068001031875612,0.030714847381585166,0.01759427547454834,0.0229435700719708,0.011622867584228522,0.018688431470284823
Macenko_patchwise,bt,SMAD4,0.1364756515026093,0.07803375950866469,0.018069576263427735,0.026393022458925938,0.06468564176559446,0.06089225559458642
Macenko_patchwise,bt,TP53,0.008267116069793698,0.015542717371367672,0.10557349872589113,0.04514475401674353,0.026056110382080087,0.029099279946624267
Macenko_patchwise,bt,lymph,0.20387499642372126,0.13395398732871344,0.19934042406082159,0.11844775236803018,0.005322513103485106,0.018132061702389096
Macenko_patchwise,bt,subtype,0.08683511734008792,0.04027172361157516,0.03970674991607665,0.03791620208857125,0.006596167087554931,0.012951073898294793
Macenko_patchwise,ctranspath,BRAF,0.04615425157546998,0.032372682728641765,0.021619680404663093,0.03209903622005748,0.05306915330886841,0.054423417746234
Macenko_patchwise,ctranspath,CDH1,0.01748486852645874,0.027805391027958305,0.0323335657119751,0.022083017831543143,0.036445487499237074,0.032170419982043556
Macenko_patchwise,ctranspath,KRAS,0.01839187717437744,0.022140421467026262,0.03948799347877502,0.04785342339807077,0.03156759119033813,0.030601818464248004
Macenko_patchwise,ctranspath,MSI,0.054995900154113764,0.05457147224820209,0.017392986774444574,0.018979545072160955,0.02310287332534791,0.035068151001784495
Macenko_patchwise,ctranspath,PIK3CA,0.022214851856231694,0.018020603794237942,0.009243438720703122,0.015346253587304218,0.03210056829452515,0.029512747617615912
Macenko_patchwise,ctranspath,SMAD4,0.006309923171997068,0.01021090943144943,0.015924104690551756,0.014559819049698958,0.03319165372848511,0.05041160293262424
Macenko_patchwise,ctranspath,TP53,0.018989896774291994,0.021882466125067574,0.09878785610198974,0.02214704368323901,0.00521324872970581,0.010065545351687357
Macenko_patchwise,ctranspath,lymph,0.022085356712341325,0.04170808289982634,0.23100383281707773,0.1014268237958808,0.049305737018585226,0.06858038983202484
Macenko_patchwise,ctranspath,subtype,0.012911080360412603,0.015772350245538816,0.02152414226531981,0.01880728427256,0.021015225887298587,0.024217208260945002
Macenko_patchwise,dino_p16,BRAF,0.06404788541793822,0.0629870549838675,0.006135643005371092,0.012521463572289587,0.12156115818023674,0.08453177680754302
Macenko_patchwise,dino_p16,CDH1,0.0027412858009338383,0.006616893486434165,0.03997715377807619,0.016999270473363207,0.02918330097198485,0.03326680041313046
Macenko_patchwise,dino_p16,KRAS,0.024094603061676018,0.02913670788603815,0.02135435104370116,0.02869006325914958,0.053336355686187734,0.03453409393306885
Macenko_patchwise,dino_p16,MSI,0.013008235454559368,0.01978888086678975,0.049890969753265374,0.034136170450936566,0.028543196678161572,0.0337370064582215
Macenko_patchwise,dino_p16,PIK3CA,0.015093718528747553,0.01871004807936153,0.050265131950378426,0.024183171630412895,0.016922269821166996,0.02276717580012162
Macenko_patchwise,dino_p16,SMAD4,0.02089817810058592,0.02683353361833705,0.030955090999603273,0.026569845000376815,0.04335230875015257,0.0514135294778382
Macenko_patchwise,dino_p16,TP53,0.024601566791534427,0.025318740428803756,0.1160717964172363,0.043065703180263586,0.0013411879539489734,0.002870760425986056
Macenko_patchwise,dino_p16,lymph,0.04461757898330685,0.053242496406274174,0.160232172012329,0.13357974950891804,0.025658605098724366,0.042875699671826424
Macenko_patchwise,dino_p16,subtype,0.020197220802307125,0.019890559510862073,0.030972321987152107,0.017126615935892653,0.010251327514648441,0.01698750232002065
Macenko_patchwise,owkin,BRAF,0.0484654293060303,0.03804130085635011,0.007973419189453124,0.016437273805805005,0.025859032630920414,0.024559032433104103
Macenko_patchwise,owkin,CDH1,0.010334681510925288,0.009593554949648584,0.005537401676177977,0.008318892880709495,0.038889776706695564,0.0245765098772494
Macenko_patchwise,owkin,KRAS,0.03305407238006592,0.04336735654116553,0.024307782173156742,0.026013620015139516,0.030801815509796136,0.04820863442406274
Macenko_patchwise,owkin,MSI,0.025545253276824956,0.03401385050017006,0.01937242937088013,0.028130837087070468,0.04313785028457643,0.030878825815394684
Macenko_patchwise,owkin,PIK3CA,0.0104056921005249,0.013159358572625979,0.05397715234756471,0.03809444454412931,0.015320011615753167,0.022428036634831915
Macenko_patchwise,owkin,SMAD4,0.04066034793853761,0.0476992366072999,0.07272866010665892,0.06581614867133885,0.0262390637397766,0.033025364739973175
Macenko_patchwise,owkin,TP53,0.03318744897842405,0.03174561670752382,0.14870375394821167,0.03469263558253713,0.009197521209716798,0.020015303208863584
Macenko_patchwise,owkin,lymph,0.05283514070510867,0.07916216626840338,0.1917860131263733,0.14600177639870113,0.036068699836730944,0.05057094022980566
Macenko_patchwise,owkin,subtype,0.035653405189514174,0.026456710685911617,0.04573940515518188,0.02344242735984046,0.0013007926940917971,0.0048688035002303846
