feature_extractor,model,magnification,target,auroc_diff
swin,AttentionMIL,low,MSI,-0.014065385
swin,AttentionMIL,low,MSI,0.039682508
swin,AttentionMIL,low,MSI,0.14133328
swin,AttentionMIL,low,MSI,0.032667875
swin,AttentionMIL,low,MSI,0.04589963
swin,AttentionMIL,low,MSI,0.0093333125
swin,AttentionMIL,low,MSI,0.028253496
swin,AttentionMIL,low,MSI,-0.041764677
swin,AttentionMIL,low,MSI,0.05037123
swin,AttentionMIL,low,MSI,-0.029572785
swin,AttentionMIL,low,MSI,0.088739336
swin,AttentionMIL,low,MSI,0.083024085
swin,AttentionMIL,low,MSI,0.07169992
swin,AttentionMIL,low,MSI,0.0037106276
swin,AttentionMIL,low,MSI,0.08950621
swin,AttentionMIL,low,MSI,0.140432
swin,AttentionMIL,low,MSI,0.01951003
swin,AttentionMIL,low,MSI,0.07059389
swin,AttentionMIL,low,MSI,0.05705881
swin,AttentionMIL,low,MSI,0.044464648
swin,AttentionMIL,low,MSI,0.022999942
swin,AttentionMIL,low,MSI,-0.024000049
swin,AttentionMIL,low,MSI,0.07870376
swin,AttentionMIL,low,MSI,0.03539014
swin,AttentionMIL,low,MSI,0.017037094
swin,AttentionMIL,low,MSI,0.039473772
swin,AttentionMIL,low,MSI,0.02947849
swin,AttentionMIL,low,MSI,0.05288893
swin,AttentionMIL,low,MSI,0.1079855
swin,AttentionMIL,low,MSI,0.022031784
swin,AttentionMIL,low,MSI,0.040888846
swin,AttentionMIL,low,MSI,0.002996564
swin,AttentionMIL,low,MSI,0.05058825
swin,AttentionMIL,low,MSI,-0.0047720075
swin,AttentionMIL,low,MSI,0.073384404
swin,AttentionMIL,low,MSI,0.010403872
swin,AttentionMIL,low,MSI,0.03849721
swin,AttentionMIL,low,MSI,0.08452046
swin,AttentionMIL,low,MSI,0.033858955
swin,AttentionMIL,low,MSI,0.034465015
swin,AttentionMIL,low,MSI,0.008230448
swin,AttentionMIL,low,MSI,0.026315749
swin,AttentionMIL,low,MSI,0.053067148
swin,AttentionMIL,low,MSI,0.04058814
swin,AttentionMIL,low,MSI,0.0676043
swin,AttentionMIL,low,MSI,0.01699996
swin,AttentionMIL,low,MSI,0.037499964
swin,AttentionMIL,low,MSI,0.12654322
swin,AttentionMIL,low,MSI,-0.004083514
swin,AttentionMIL,low,MSI,0.028148115
swin,AttentionMIL,low,MSI,0.069872975
swin,AttentionMIL,low,MSI,0.0068027377
swin,AttentionMIL,low,MSI,0.047111154
swin,AttentionMIL,low,MSI,0.10753173
swin,AttentionMIL,low,MSI,0.060587525
swin,AttentionMIL,low,MSI,0.045333266
swin,AttentionMIL,low,MSI,0.089041114
swin,AttentionMIL,low,MSI,-0.015294194
swin,AttentionMIL,low,MSI,0.06044537
swin,AttentionMIL,low,MSI,0.029025137
swin,AttentionMIL,low,MSI,0.023867846
swin,AttentionMIL,low,MSI,0.009740233
swin,AttentionMIL,low,MSI,0.056980133
swin,AttentionMIL,low,MSI,0.063079715
swin,AttentionMIL,low,MSI,0.010288119
swin,AttentionMIL,low,MSI,0.06481475
swin,AttentionMIL,low,MSI,0.040381074
swin,AttentionMIL,low,MSI,0.050146043
swin,AttentionMIL,low,MSI,0.039411783
swin,AttentionMIL,low,MSI,0.08529949
swin,AttentionMIL,low,MSI,0.045999944
swin,AttentionMIL,low,MSI,-0.0040000677
swin,AttentionMIL,low,MSI,0.04063791
swin,AttentionMIL,low,MSI,0.009981751
swin,AttentionMIL,low,MSI,0.032592654
swin,AttentionMIL,low,MSI,0.029491901
swin,AttentionMIL,low,MSI,0.007936537
swin,AttentionMIL,low,MSI,0.036444485
swin,AttentionMIL,low,MSI,0.026315808
swin,AttentionMIL,low,MSI,0.04467559
swin,AttentionMIL,low,MSI,0.037777722
swin,AttentionMIL,low,MSI,-0.0136986375
swin,AttentionMIL,low,MSI,0.028235435
swin,AttentionMIL,low,MSI,0.014846265
swin,AttentionMIL,low,MSI,0.0
swin,AttentionMIL,low,MSI,0.026315749
swin,AttentionMIL,low,MSI,0.043599248
swin,AttentionMIL,low,MSI,0.013295352
swin,AttentionMIL,low,MSI,0.047309875
swin,AttentionMIL,low,MSI,0.039609075
swin,AttentionMIL,low,MSI,0.05092597
swin,AttentionMIL,low,MSI,0.057168722
swin,AttentionMIL,low,MSI,0.044790626
swin,AttentionMIL,low,MSI,0.019411683
swin,AttentionMIL,low,MSI,0.01814884
swin,AttentionMIL,low,MSI,0.04000008
swin,AttentionMIL,low,MSI,0.044500053
swin,AttentionMIL,low,MSI,0.030349791
swin,AttentionMIL,low,MSI,-0.033234954
swin,AttentionMIL,low,MSI,0.024444401
swin,AttentionMIL,low,MSI,0.01814884
swin,AttentionMIL,low,MSI,-0.014172316
swin,AttentionMIL,low,MSI,0.09722227
swin,AttentionMIL,low,MSI,0.07872039
swin,AttentionMIL,low,MSI,0.029681742
swin,AttentionMIL,low,MSI,0.018222213
swin,AttentionMIL,low,MSI,0.04741013
swin,AttentionMIL,low,MSI,-0.026470542
swin,AttentionMIL,low,MSI,0.008748651
swin,AttentionMIL,low,MSI,0.039841175
swin,AttentionMIL,low,MSI,0.03855568
swin,AttentionMIL,low,MSI,0.031539917
swin,AttentionMIL,low,MSI,0.056030393
swin,AttentionMIL,low,MSI,0.027829349
swin,AttentionMIL,low,MSI,0.07613176
swin,AttentionMIL,low,MSI,0.07330239
swin,AttentionMIL,low,MSI,0.048094332
swin,AttentionMIL,low,MSI,0.07667965
swin,AttentionMIL,low,MSI,0.04411763
swin,AttentionMIL,low,MSI,0.044010937
swin,AttentionMIL,low,MSI,0.111499965
swin,AttentionMIL,low,SMAD4,0.010638297
swin,AttentionMIL,low,SMAD4,-0.043616176
swin,AttentionMIL,low,SMAD4,-0.036437273
swin,AttentionMIL,low,SMAD4,-0.08961141
swin,AttentionMIL,low,SMAD4,-0.030999988
swin,AttentionMIL,low,SMAD4,0.010416687
swin,AttentionMIL,low,SMAD4,-0.00666672
swin,AttentionMIL,low,SMAD4,0.025362313
swin,AttentionMIL,low,SMAD4,0.014444411
swin,AttentionMIL,low,SMAD4,0.003989339
swin,AttentionMIL,low,SMAD4,0.011228085
swin,AttentionMIL,low,SMAD4,-0.0046542883
swin,AttentionMIL,low,SMAD4,-0.08909577
swin,AttentionMIL,low,SMAD4,-0.02976191
swin,AttentionMIL,low,SMAD4,-0.054718465
swin,AttentionMIL,low,SMAD4,0.04048592
swin,AttentionMIL,low,SMAD4,0.01413691
swin,AttentionMIL,low,SMAD4,-0.003888905
swin,AttentionMIL,low,SMAD4,-0.012855828
swin,AttentionMIL,low,SMAD4,-0.04511279
swin,AttentionMIL,low,SMAD4,-0.09710747
swin,AttentionMIL,low,SMAD4,-0.051364362
swin,AttentionMIL,low,SMAD4,-0.052473754
swin,AttentionMIL,low,SMAD4,-0.10373178
swin,AttentionMIL,low,SMAD4,-0.06736839
swin,AttentionMIL,low,SMAD4,-0.024601102
swin,AttentionMIL,low,SMAD4,-0.0015860498
swin,AttentionMIL,low,SMAD4,-0.09196067
swin,AttentionMIL,low,SMAD4,-0.034892976
swin,AttentionMIL,low,SMAD4,-0.058
swin,AttentionMIL,low,SMAD4,-0.055803597
swin,AttentionMIL,low,SMAD4,0.006111145
swin,AttentionMIL,low,SMAD4,-0.04710138
swin,AttentionMIL,low,SMAD4,-0.06333327
swin,AttentionMIL,low,SMAD4,-0.005319059
swin,AttentionMIL,low,SMAD4,-0.02526313
swin,AttentionMIL,low,SMAD4,-0.048537225
swin,AttentionMIL,low,SMAD4,-0.024601042
swin,AttentionMIL,low,SMAD4,-0.0697279
swin,AttentionMIL,low,SMAD4,-0.0007930398
swin,AttentionMIL,low,SMAD4,-0.04222089
swin,AttentionMIL,low,SMAD4,0.040922582
swin,AttentionMIL,low,SMAD4,-0.04111111
swin,AttentionMIL,low,SMAD4,0.038567483
swin,AttentionMIL,low,SMAD4,-0.050318062
swin,AttentionMIL,low,SMAD4,0.011880159
swin,AttentionMIL,low,SMAD4,0.0048154593
swin,AttentionMIL,low,SMAD4,0.024487793
swin,AttentionMIL,low,SMAD4,-0.06767875
swin,AttentionMIL,low,SMAD4,-0.06807017
swin,AttentionMIL,low,SMAD4,0.009973407
swin,AttentionMIL,low,SMAD4,-0.062648684
swin,AttentionMIL,low,SMAD4,-0.07345283
swin,AttentionMIL,low,SMAD4,-0.055511504
swin,AttentionMIL,low,SMAD4,-0.036000073
swin,AttentionMIL,low,SMAD4,-0.0892857
swin,AttentionMIL,low,SMAD4,-0.031666636
swin,AttentionMIL,low,SMAD4,-0.0289855
swin,AttentionMIL,low,SMAD4,-0.06722224
swin,AttentionMIL,low,SMAD4,-0.0059840083
swin,AttentionMIL,low,SMAD4,-0.024561405
swin,AttentionMIL,low,SMAD4,-0.03125006
swin,AttentionMIL,low,SMAD4,-0.12433505
