augmentations,feature_extractor,model,target,train_dataset,test_dataset,auroc_diff
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07172644
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07000005
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.049382746
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.0626685
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.083376765
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.049564242
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.039365053
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.042535424
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.11303508
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05513221
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.09015113
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.05079359
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.084231734
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12940335
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.043403864
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.020210505
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.097
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.08499998
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.061899006
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.16414797
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.070500135
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07884097
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07088816
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.07595658
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.029500008
Macenko_patchwise,bt,AttentionMIL,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,0.12510425
