magnification,target,train_dataset,test_dataset,model,feature_extractor,augmentations,seed,wandb_id,train_auroc,val_auroc,test_auroc,runtime
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,3,171hpxqn,0.8887814283370972,0.8439655303955078,0.7829811573028564,1006.8072140216829
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,Macenko_patchwise,4,i6q7ifrd,0.7144178152084351,0.8607758283615112,0.7344374656677246,736.7031037807465
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,0,ajsplsz5,0.8437607288360596,0.8310344219207764,0.7872644066810608,3030.074249982834
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,1,y460wl21,0.6751089096069336,0.8174569010734558,0.7584236860275269,2765.9078640937805
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,2,pe1ykq8q,0.8481610417366028,0.8160560131072998,0.8138207197189331,1071.8777453899384
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,3,o8pc397u,0.901014804840088,0.8306034803390503,0.8012564182281494,6761.913744926453
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin,none,4,6k94dqgo,0.7236555814743042,0.8523706197738647,0.7267276048660278,26924.550440073013
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,Macenko_patchwise,0,yuiezf7n,0.8002235889434814,0.8206896781921387,0.8498001098632812,482.2370958328247
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,Macenko_patchwise,1,pm3eq5wq,0.858588457107544,0.8387930989265442,0.8001141548156738,498.9171464443207
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,Macenko_patchwise,2,890iacdv,0.6937707662582397,0.8230603933334351,0.7230154275894165,398.6884832382202
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,Macenko_patchwise,3,qrnxxvcn,0.8066449165344238,0.8467671871185303,0.7635636329650879,429.6762912273407
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,Macenko_patchwise,4,biw2ktv7,0.826876163482666,0.8398706912994385,0.7846944332122803,426.93867540359497
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,none,0,551pe9i7,0.8496302366256714,0.8149784207344055,0.7995431423187256,3006.1916575431824
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,none,1,rdyta7w0,0.6906819939613342,0.8125,0.8092519044876099,448.101108789444
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,none,2,ceqbsnia,0.8815860748291016,0.8468749523162842,0.840091347694397,7416.898885726929
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,none,3,x8wz1n9h,0.7231754064559937,0.8053878545761108,0.8098229169845581,398.9470796585083
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,owkin_teacher,none,4,3b51m3pg,0.7421883940696716,0.850215494632721,0.7184466123580933,402.0568659305573
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,0,oe3r2drp,0.7491686344146729,0.7403017282485962,0.6202170252799988,5282.904440402985
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,1,ooon4jj1,0.7989765405654907,0.7426724433898926,0.6382067203521729,1855.9321901798248
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,2,arj7ekpc,0.8622291088104248,0.7542026042938232,0.7013134956359863,1544.3928310871124
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,3,micqunrm,0.7584996223449707,0.7855603694915771,0.690462589263916,4160.250170946121
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,Macenko_patchwise,4,7rmjkmzn,0.79233318567276,0.8088362216949463,0.665905237197876,34175.215658426285
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,0,q3typ48h,0.7668056488037109,0.7094827890396118,0.7155910730361938,137185.79361748695
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,1,ofrh19yf,0.6564470529556274,0.7036638259887695,0.6167904138565063,129666.16667032242
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,2,gee7mb2a,0.6291708946228027,0.7293103337287903,0.643632173538208,24731.10343503952
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,3,keqsy178,0.745291531085968,0.7452585697174072,0.7498571872711182,151685.7226741314
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,resnet50,none,4,4w6rutbn,0.6774165630340576,0.682758629322052,0.6579097509384155,57535.52229738236
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,0,1c2d5lgk,0.8414316177368164,0.7196121215820312,0.7035979628562927,36956.40126132965
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,1,wms23drd,0.7882338762283325,0.7176724076271057,0.7041690349578857,38897.41803622246
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,2,7jc6tqbu,0.8508269786834717,0.7596982717514038,0.6910337209701538,189761.84654474256
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,3,t0c5v01z,0.8018432855606079,0.7413793802261353,0.6898914575576782,10707.529309988022
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,Macenko_patchwise,4,4vq5abzq,0.8324733376502991,0.742133617401123,0.6379212141036987,4086.83620262146
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,0,tru4u723,0.8075908422470093,0.7515085935592651,0.6973158121109009,111224.6607272625
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,1,1d5jd40k,0.7980163097381592,0.7464439272880554,0.7144489288330078,224089.83059811592
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,2,5nivo7jf,0.8749426603317261,0.751724123954773,0.7430039644241333,96406.38230276108
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,3,3ed8pnth,0.8251276016235352,0.7113146185874939,0.7327241897583008,195864.79521918297
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,retccl,none,4,jjofl8d5,0.8419046401977539,0.7350215911865234,0.6973158121109009,219763.3296301365
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,0,daxp0gje,0.7725962996482849,0.7240301370620728,0.6727584600448608,1341.7619993686676
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,1,m9d6urd1,0.8481108546257019,0.8523706793785095,0.6710451245307922,1253.8699288368225
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,2,1ksmi6md,0.8564599752426147,0.800215482711792,0.6647629737854004,1244.3541367053986
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,3,3zu4r1ci,0.8223971128463745,0.7919180989265442,0.672187328338623,1181.502764463425
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,Macenko_patchwise,4,a0rvae3n,0.7826008796691895,0.7620689868927002,0.6961736083030701,1045.2545673847198
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,0,9lj5i8zz,0.8235222101211548,0.7786638140678406,0.6864649057388306,40346.50119757652
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,1,f43xvunm,0.8125573396682739,0.7963361740112305,0.6824672222137451,49975.21794271469
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,2,0pkx1nzk,0.8484476804733276,0.7927801609039307,0.6938892006874084,122062.4939672947
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,3,juq7o1ol,0.8906877636909485,0.7758620381355286,0.6784694194793701,307319.2699506283
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swav,none,4,83h2mwoz,0.8791852593421936,0.7914870977401733,0.6973158121109009,1897.702748537064
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,0,xt91n6zu,0.741600751876831,0.768750011920929,0.7058823108673096,817.0244665145874
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,1,a0yk8fug,0.8250057697296143,0.7506465911865234,0.7001713514328003,2061.5545587539677
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,2,o525oph5,0.7599974274635315,0.7424569129943848,0.6973158121109009,14491.309583187103
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,3,e0kzihd0,0.7901617288589478,0.7709051370620728,0.6990290880203247,935.826645374298
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,Macenko_patchwise,4,3thv1fdz,0.7700808048248291,0.7732758522033691,0.7044546008110046,1012.7616703510284
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,none,0,vskd0k9q,0.8404784202575684,0.7732758522033691,0.8389492034912109,3425.3649899959564
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,none,1,krrulx5r,0.8522030115127563,0.7961207032203674,0.8355225324630737,2608.529077529907
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,none,2,erktqbwf,0.8542168140411377,0.8025861978530884,0.7115933895111084,5755.552845716476
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,none,3,2d52692h,0.8572913408279419,0.7995690107345581,0.7384351491928101,71278.19053053856
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,swin,none,4,l9hbfc4u,0.7516626119613647,0.817025899887085,0.7509994506835938,2739.716592311859
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,Macenko_patchwise,0,g0novoh6,0.7637383937835693,0.7738146185874939,0.7430039644241333,942.7867193222046
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,Macenko_patchwise,1,p9qw9rll,0.7813467979431152,0.698706865310669,0.7804112434387207,1618.049434185028
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,Macenko_patchwise,2,l5gs0lwo,0.7367776036262512,0.7235991358757019,0.7567104697227478,9899.32221841812
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,Macenko_patchwise,3,744qxx8y,0.8109949827194214,0.7581896781921387,0.7544260025024414,12570.146923303604
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,Macenko_patchwise,4,b2euixwo,0.7866930961608887,0.7443965673446655,0.7292975187301636,819.4923415184021
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,none,0,uzv43n07,0.7708117961883545,0.782650887966156,0.7544260025024414,1114.428871870041
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,none,1,2cygkf5o,0.8601722717285156,0.7057111859321594,0.7966876029968262,10198.50180888176
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,none,2,z7roklab,0.7572597861289978,0.7315732836723328,0.7512849569320679,2331.7526803016663
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,none,3,a97kqsei,0.793522834777832,0.7877154350280762,0.7669903039932251,55193.67793226242
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vit,none,4,tyq4ngxg,0.8126505017280579,0.7655172348022461,0.7815533876419067,4764.152735233307
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,Macenko_patchwise,0,6hjvteaw,0.7801713943481445,0.7510775327682495,0.7407195568084717,434.0975077152252
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,Macenko_patchwise,1,ewh203qn,0.792232871055603,0.7870689630508423,0.797258734703064,461.5952537059784
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,Macenko_patchwise,2,qs3jnuff,0.7457860112190247,0.7849137783050537,0.7732723951339722,406.5721986293793
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,Macenko_patchwise,3,ap2a2v7u,0.7660890817642212,0.7494611740112305,0.778983473777771,414.31936979293823
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,Macenko_patchwise,4,bizsjys7,0.7883700132369995,0.7801724076271057,0.8018275499343872,435.5563716888428
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,none,0,1sugj3r0,0.7837117910385132,0.7827585935592651,0.7567104697227478,2505.141195297241
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,none,1,07yoks3g,0.8180612921714783,0.8157327175140381,0.7852655649185181,492.6479315757752
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,none,2,9jlpqlzk,0.7836400866508484,0.8368534445762634,0.8086807727813721,5998.687476396561
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,none,3,qwg69vh7,0.7903623580932617,0.8084051012992859,0.8052541613578796,467.79380655288696
high,CDH1,tcga_brca_CDH1,cptac_brca_CDH1,AttentionMIL,vits,none,4,3l8r3tpl,0.7736067771911621,0.7738146781921387,0.7835522890090942,437.47720646858215
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,Macenko_patchwise,0,3k7qowic,0.5124119520187378,0.4817073345184326,0.4848571419715881,2206.5367918014526
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,Macenko_patchwise,1,wp67c6wh,0.5116347074508667,0.526237964630127,0.4991428852081299,1194.9678418636322
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,Macenko_patchwise,2,b2idi3a9,0.5542833805084229,0.4528516829013824,0.5148571729660034,2220.5404760837555
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,Macenko_patchwise,3,mrp7fjqd,0.5213683843612671,0.5,0.5,1265.0136539936066
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,Macenko_patchwise,4,2avfow26,0.4933623075485229,0.490514874458313,0.5174285769462585,1137.3485643863678
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,none,0,xvddmto3,0.502004086971283,0.4592263996601105,0.5002857446670532,1493.3618161678314
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,none,1,kbstdwrg,0.5097693204879761,0.4897142052650451,0.4930000007152557,1265.8766078948977
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,none,2,ktbp8rz2,0.5410323143005371,0.4613205194473266,0.5019999742507935,1284.5047748088837
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,none,3,oifgfy1u,0.5074917674064636,0.4969204366207123,0.4765714406967163,1358.2921228408811
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,bt,none,4,nkidroal,0.50311279296875,0.4884207844734192,0.4991428852081299,1126.1871182918549
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,Macenko_patchwise,0,aum0pv90,0.5818399786949158,0.6043360233306885,0.6045714616775513,817.6079804897308
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,Macenko_patchwise,1,mphw0q80,0.6205498576164246,0.6168391108512878,0.5954285860061646,955.77445435524
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,Macenko_patchwise,2,u4c496b6,0.6585630774497986,0.6207194328308105,0.5965714454650879,973.3100118637084
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,Macenko_patchwise,3,prc8f1hd,0.5918377637863159,0.6086474657058716,0.593999981880188,836.0853300094604
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,Macenko_patchwise,4,8ogtgh2e,0.6986103057861328,0.6278640031814575,0.5868571996688843,1102.3721632957458
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,none,0,1on3sw62,0.5869194269180298,0.620596170425415,0.600857138633728,795.6540610790253
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,none,1,8lzwdqe5,0.6125037670135498,0.6042128801345825,0.5985714197158813,858.9399049282074
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,none,2,27ukels7,0.7136874198913574,0.6208425760269165,0.6462857127189636,1167.4777524471283
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,none,3,zl5ntx4d,0.5774648189544678,0.6000246405601501,0.5982857346534729,777.8743135929108
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,ctranspath,none,4,00cbff1j,0.704468846321106,0.620596170425415,0.6451427936553955,1106.7198979854584
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,dino_p16,Macenko_patchwise,0,r86sfbje,0.6131105422973633,0.6350086331367493,0.6165714263916016,345.43070578575134
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,dino_p16,Macenko_patchwise,1,a2q40oj9,0.7103910446166992,0.5458856821060181,0.579285740852356,531.8789520263672
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,dino_p16,Macenko_patchwise,2,7tbax3n6,0.6471269130706787,0.6536092758178711,0.604285717010498,366.8926110267639
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,dino_p16,Macenko_patchwise,3,by8ya0as,0.5971943140029907,0.5783444046974182,0.6259999871253967,358.330263376236
high,PIK3CA,tcga_brca_PIK3CA,cptac_brca_PIK3CA,AttentionMIL,dino_p16,Macenko_patchwise,4,zq8o4gad,0.6286147832870483,0.6136363744735718,0.6111428737640381,347.82985639572144
